pin,bank,site,tile,pin_function
AH6,33,IOB_X1Y65,RIOB33_X105Y65,IO_L17N_T2_33
AH7,33,IOB_X1Y66,RIOB33_X105Y65,IO_L17P_T2_33
AH8,33,IOB_X1Y61,RIOB33_X105Y61,IO_L19N_T3_VREF_33
AH9,33,IOB_X1Y62,RIOB33_X105Y61,IO_L19P_T3_33
AH11,33,IOB_X1Y53,RIOB33_X105Y53,IO_L23N_T3_33
AH14,113,IPAD_X2Y9,GTP_COMMON_MID_RIGHT_X167Y23,MGTREFCLK0N_113
AH16,113,IPAD_X2Y11,GTP_COMMON_MID_RIGHT_X167Y23,MGTREFCLK1N_113
AH18,213,IPAD_X1Y11,GTP_COMMON_MID_LEFT_X103Y23,MGTREFCLK1N_213
AH20,213,IPAD_X1Y9,GTP_COMMON_MID_LEFT_X103Y23,MGTREFCLK0N_213
AH24,13,IOB_X0Y57,LIOB33_X0Y57,IO_L21N_T3_DQS_13
AH26,13,IOB_X0Y61,LIOB33_X0Y61,IO_L19N_T3_VREF_13
AH27,13,IOB_X0Y65,LIOB33_X0Y65,IO_L17N_T2_13
AH28,13,IOB_X0Y74,LIOB33_X0Y73,IO_L13P_T2_MRCC_13
AH29,13,IOB_X0Y73,LIOB33_X0Y73,IO_L13N_T2_MRCC_13
AH31,13,IOB_X0Y79,LIOB33_X0Y79,IO_L10N_T1_13
AH32,13,IOB_X0Y89,LIOB33_X0Y89,IO_L5N_T0_13
AH33,13,IOB_X0Y94,LIOB33_X0Y93,IO_L3P_T0_DQS_13
AH34,13,IOB_X0Y93,LIOB33_X0Y93,IO_L3N_T0_DQS_13
AJ1,33,IOB_X1Y93,RIOB33_X105Y93,IO_L3N_T0_DQS_33
AJ3,33,IOB_X1Y87,RIOB33_X105Y87,IO_L6N_T0_VREF_33
AJ4,33,IOB_X1Y81,RIOB33_X105Y81,IO_L9N_T1_DQS_33
AJ5,32,IOB_X1Y34,RIOB33_X105Y33,IO_L8P_T1_32
AJ6,32,IOB_X1Y26,RIOB33_X105Y25,IO_L12P_T1_MRCC_32
AJ8,32,IOB_X1Y20,RIOB33_X105Y19,IO_L15P_T2_DQS_32
AJ9,32,IOB_X1Y49,RIOB33_SING_X105Y49,IO_0_32
AJ10,32,IOB_X1Y12,RIOB33_X105Y11,IO_L19P_T3_32
AJ11,32,IOB_X1Y4,RIOB33_X105Y3,IO_L23P_T3_32
AJ13,113,IPAD_X2Y25,GTP_CHANNEL_3_MID_RIGHT_X167Y46,MGTPRXP3_113
AJ15,113,IPAD_X2Y19,GTP_CHANNEL_2_MID_RIGHT_X167Y35,MGTPRXP2_113
AJ17,113,IPAD_X2Y1,GTP_CHANNEL_0_MID_RIGHT_X167Y6,MGTPRXP0_113
AJ19,213,IPAD_X1Y7,GTP_CHANNEL_1_MID_LEFT_X103Y17,MGTPRXP1_213
AJ21,213,IPAD_X1Y25,GTP_CHANNEL_3_MID_LEFT_X103Y46,MGTPRXP3_213
AJ24,12,IOB_X0Y49,LIOB33_SING_X0Y49,IO_0_12
AJ25,12,IOB_X0Y12,LIOB33_X0Y11,IO_L19P_T3_12
AJ26,12,IOB_X0Y10,LIOB33_X0Y9,IO_L20P_T3_12
AJ28,12,IOB_X0Y22,LIOB33_X0Y21,IO_L14P_T2_SRCC_12
AJ29,12,IOB_X0Y28,LIOB33_X0Y27,IO_L11P_T1_SRCC_12
AJ30,12,IOB_X0Y32,LIOB33_X0Y31,IO_L9P_T1_DQS_12
AJ31,12,IOB_X0Y36,LIOB33_X0Y35,IO_L7P_T1_12
AJ33,12,IOB_X0Y46,LIOB33_X0Y45,IO_L2P_T0_12
AJ34,12,IOB_X0Y45,LIOB33_X0Y45,IO_L2N_T0_12
AK1,32,IOB_X1Y45,RIOB33_X105Y45,IO_L2N_T0_32
AK2,32,IOB_X1Y46,RIOB33_X105Y45,IO_L2P_T0_32
AK3,32,IOB_X1Y38,RIOB33_X105Y37,IO_L6P_T0_32
AK5,32,IOB_X1Y33,RIOB33_X105Y33,IO_L8N_T1_32
AK6,32,IOB_X1Y25,RIOB33_X105Y25,IO_L12N_T1_MRCC_32
AK7,32,IOB_X1Y24,RIOB33_X105Y23,IO_L13P_T2_MRCC_32
AK8,32,IOB_X1Y19,RIOB33_X105Y19,IO_L15N_T2_DQS_32
AK10,32,IOB_X1Y11,RIOB33_X105Y11,IO_L19N_T3_VREF_32
AK11,32,IOB_X1Y3,RIOB33_X105Y3,IO_L23N_T3_32
AK13,113,IPAD_X2Y24,GTP_CHANNEL_3_MID_RIGHT_X167Y46,MGTPRXN3_113
AK15,113,IPAD_X2Y18,GTP_CHANNEL_2_MID_RIGHT_X167Y35,MGTPRXN2_113
AK17,113,IPAD_X2Y0,GTP_CHANNEL_0_MID_RIGHT_X167Y6,MGTPRXN0_113
AK19,213,IPAD_X1Y6,GTP_CHANNEL_1_MID_LEFT_X103Y17,MGTPRXN1_213
AK21,213,IPAD_X1Y24,GTP_CHANNEL_3_MID_LEFT_X103Y46,MGTPRXN3_213
AK25,12,IOB_X0Y11,LIOB33_X0Y11,IO_L19N_T3_VREF_12
AK26,12,IOB_X0Y9,LIOB33_X0Y9,IO_L20N_T3_12
AK27,12,IOB_X0Y14,LIOB33_X0Y13,IO_L18P_T2_12
AK28,12,IOB_X0Y21,LIOB33_X0Y21,IO_L14N_T2_SRCC_12
AK30,12,IOB_X0Y27,LIOB33_X0Y27,IO_L11N_T1_SRCC_12
AK31,12,IOB_X0Y31,LIOB33_X0Y31,IO_L9N_T1_DQS_12
AK32,12,IOB_X0Y35,LIOB33_X0Y35,IO_L7N_T1_12
AK33,12,IOB_X0Y42,LIOB33_X0Y41,IO_L4P_T0_12
AL2,32,IOB_X1Y42,RIOB33_X105Y41,IO_L4P_T0_32
AL3,32,IOB_X1Y37,RIOB33_X105Y37,IO_L6N_T0_VREF_32
AL4,32,IOB_X1Y30,RIOB33_X105Y29,IO_L10P_T1_32
AL5,32,IOB_X1Y28,RIOB33_X105Y27,IO_L11P_T1_SRCC_32
AL7,32,IOB_X1Y23,RIOB33_X105Y23,IO_L13N_T2_MRCC_32
AL8,32,IOB_X1Y0,RIOB33_SING_X105Y0,IO_25_32
AL9,32,IOB_X1Y8,RIOB33_X105Y7,IO_L21P_T3_DQS_32
AL10,32,IOB_X1Y2,RIOB33_X105Y1,IO_L24P_T3_32
AL14,113,OPAD_X1Y5,GTP_CHANNEL_2_MID_RIGHT_X167Y35,MGTPTXP2_113
AL16,113,IPAD_X2Y7,GTP_CHANNEL_1_MID_RIGHT_X167Y17,MGTPRXP1_113
AL18,213,IPAD_X1Y1,GTP_CHANNEL_0_MID_LEFT_X103Y6,MGTPRXP0_213
AL20,213,IPAD_X1Y19,GTP_CHANNEL_2_MID_LEFT_X103Y35,MGTPRXP2_213
AL22,213,OPAD_X0Y5,GTP_CHANNEL_2_MID_LEFT_X103Y35,MGTPTXP2_213
AL24,12,IOB_X0Y0,LIOB33_SING_X0Y0,IO_25_12
AL25,12,IOB_X0Y4,LIOB33_X0Y3,IO_L23P_T3_12
AL27,12,IOB_X0Y13,LIOB33_X0Y13,IO_L18N_T2_12
AL28,12,IOB_X0Y24,LIOB33_X0Y23,IO_L13P_T2_MRCC_12
AL29,12,IOB_X0Y23,LIOB33_X0Y23,IO_L13N_T2_MRCC_12
AL30,12,IOB_X0Y26,LIOB33_X0Y25,IO_L12P_T1_MRCC_12
AL32,12,IOB_X0Y38,LIOB33_X0Y37,IO_L6P_T0_12
AL33,12,IOB_X0Y41,LIOB33_X0Y41,IO_L4N_T0_12
AL34,12,IOB_X0Y48,LIOB33_X0Y47,IO_L1P_T0_12
AM1,32,IOB_X1Y41,RIOB33_X105Y41,IO_L4N_T0_32
AM2,32,IOB_X1Y44,RIOB33_X105Y43,IO_L3P_T0_DQS_32
AM4,32,IOB_X1Y29,RIOB33_X105Y29,IO_L10N_T1_32
AM5,32,IOB_X1Y27,RIOB33_X105Y27,IO_L11N_T1_SRCC_32
AM6,32,IOB_X1Y21,RIOB33_X105Y21,IO_L14N_T2_SRCC_32
AM7,32,IOB_X1Y22,RIOB33_X105Y21,IO_L14P_T2_SRCC_32
AM9,32,IOB_X1Y7,RIOB33_X105Y7,IO_L21N_T3_DQS_32
AM10,32,IOB_X1Y1,RIOB33_X105Y1,IO_L24N_T3_32
AM11,32,IOB_X1Y6,RIOB33_X105Y5,IO_L22P_T3_32
AM14,113,OPAD_X1Y4,GTP_CHANNEL_2_MID_RIGHT_X167Y35,MGTPTXN2_113
AM16,113,IPAD_X2Y6,GTP_CHANNEL_1_MID_RIGHT_X167Y17,MGTPRXN1_113
AM18,213,IPAD_X1Y0,GTP_CHANNEL_0_MID_LEFT_X103Y6,MGTPRXN0_213
AM20,213,IPAD_X1Y18,GTP_CHANNEL_2_MID_LEFT_X103Y35,MGTPRXN2_213
AM22,213,OPAD_X0Y4,GTP_CHANNEL_2_MID_LEFT_X103Y35,MGTPTXN2_213
AM25,12,IOB_X0Y3,LIOB33_X0Y3,IO_L23N_T3_12
AM26,12,IOB_X0Y8,LIOB33_X0Y7,IO_L21P_T3_DQS_12
AM27,12,IOB_X0Y6,LIOB33_X0Y5,IO_L22P_T3_12
AM29,12,IOB_X0Y18,LIOB33_X0Y17,IO_L16P_T2_12
AM30,12,IOB_X0Y25,LIOB33_X0Y25,IO_L12N_T1_MRCC_12
AM31,12,IOB_X0Y34,LIOB33_X0Y33,IO_L8P_T1_12
AM32,12,IOB_X0Y37,LIOB33_X0Y37,IO_L6N_T0_VREF_12
AM34,12,IOB_X0Y47,LIOB33_X0Y47,IO_L1N_T0_12
AN1,32,IOB_X1Y48,RIOB33_X105Y47,IO_L1P_T0_32
AN2,32,IOB_X1Y43,RIOB33_X105Y43,IO_L3N_T0_DQS_32
AN3,32,IOB_X1Y40,RIOB33_X105Y39,IO_L5P_T0_32
AN4,32,IOB_X1Y36,RIOB33_X105Y35,IO_L7P_T1_32
AN6,32,IOB_X1Y15,RIOB33_X105Y15,IO_L17N_T2_32
AN7,32,IOB_X1Y16,RIOB33_X105Y15,IO_L17P_T2_32
AN8,32,IOB_X1Y18,RIOB33_X105Y17,IO_L16P_T2_32
AN9,32,IOB_X1Y14,RIOB33_X105Y13,IO_L18P_T2_32
AN11,32,IOB_X1Y5,RIOB33_X105Y5,IO_L22N_T3_32
AN13,113,OPAD_X1Y7,GTP_CHANNEL_3_MID_RIGHT_X167Y46,MGTPTXP3_113
AN15,113,OPAD_X1Y3,GTP_CHANNEL_1_MID_RIGHT_X167Y17,MGTPTXP1_113
AN17,113,OPAD_X1Y1,GTP_CHANNEL_0_MID_RIGHT_X167Y6,MGTPTXP0_113
AN19,213,OPAD_X0Y1,GTP_CHANNEL_0_MID_LEFT_X103Y6,MGTPTXP0_213
AN21,213,OPAD_X0Y3,GTP_CHANNEL_1_MID_LEFT_X103Y17,MGTPTXP1_213
AN23,213,OPAD_X0Y7,GTP_CHANNEL_3_MID_LEFT_X103Y46,MGTPTXP3_213
AN26,12,IOB_X0Y7,LIOB33_X0Y7,IO_L21N_T3_DQS_12
AN27,12,IOB_X0Y5,LIOB33_X0Y5,IO_L22N_T3_12
AN28,12,IOB_X0Y16,LIOB33_X0Y15,IO_L17P_T2_12
AN29,12,IOB_X0Y17,LIOB33_X0Y17,IO_L16N_T2_12
AN31,12,IOB_X0Y30,LIOB33_X0Y29,IO_L10P_T1_12
AN32,12,IOB_X0Y33,LIOB33_X0Y33,IO_L8N_T1_12
AN33,12,IOB_X0Y40,LIOB33_X0Y39,IO_L5P_T0_12
AN34,12,IOB_X0Y44,LIOB33_X0Y43,IO_L3P_T0_DQS_12
AP1,32,IOB_X1Y47,RIOB33_X105Y47,IO_L1N_T0_32
AP3,32,IOB_X1Y39,RIOB33_X105Y39,IO_L5N_T0_32
AP4,32,IOB_X1Y35,RIOB33_X105Y35,IO_L7N_T1_32
AP5,32,IOB_X1Y31,RIOB33_X105Y31,IO_L9N_T1_DQS_32
AP6,32,IOB_X1Y32,RIOB33_X105Y31,IO_L9P_T1_DQS_32
AP8,32,IOB_X1Y17,RIOB33_X105Y17,IO_L16N_T2_32
AP9,32,IOB_X1Y13,RIOB33_X105Y13,IO_L18N_T2_32
AP10,32,IOB_X1Y9,RIOB33_X105Y9,IO_L20N_T3_32
AP11,32,IOB_X1Y10,RIOB33_X105Y9,IO_L20P_T3_32
AP13,113,OPAD_X1Y6,GTP_CHANNEL_3_MID_RIGHT_X167Y46,MGTPTXN3_113
AP15,113,OPAD_X1Y2,GTP_CHANNEL_1_MID_RIGHT_X167Y17,MGTPTXN1_113
AP17,113,OPAD_X1Y0,GTP_CHANNEL_0_MID_RIGHT_X167Y6,MGTPTXN0_113
AP19,213,OPAD_X0Y0,GTP_CHANNEL_0_MID_LEFT_X103Y6,MGTPTXN0_213
AP21,213,OPAD_X0Y2,GTP_CHANNEL_1_MID_LEFT_X103Y17,MGTPTXN1_213
AP23,213,OPAD_X0Y6,GTP_CHANNEL_3_MID_LEFT_X103Y46,MGTPTXN3_213
AP25,12,IOB_X0Y2,LIOB33_X0Y1,IO_L24P_T3_12
AP26,12,IOB_X0Y1,LIOB33_X0Y1,IO_L24N_T3_12
AP28,12,IOB_X0Y15,LIOB33_X0Y15,IO_L17N_T2_12
AP29,12,IOB_X0Y20,LIOB33_X0Y19,IO_L15P_T2_DQS_12
AP30,12,IOB_X0Y19,LIOB33_X0Y19,IO_L15N_T2_DQS_12
AP31,12,IOB_X0Y29,LIOB33_X0Y29,IO_L10N_T1_12
AP33,12,IOB_X0Y39,LIOB33_X0Y39,IO_L5N_T0_12
AP34,12,IOB_X0Y43,LIOB33_X0Y43,IO_L3N_T0_DQS_12
B13,116,OPAD_X1Y9,GTP_CHANNEL_0_MID_RIGHT_X167Y214,MGTPTXP0_116
B15,116,OPAD_X1Y13,GTP_CHANNEL_2_MID_RIGHT_X167Y243,MGTPTXP2_116
B17,116,OPAD_X1Y15,GTP_CHANNEL_3_MID_RIGHT_X167Y254,MGTPTXP3_116
B19,216,OPAD_X0Y15,GTP_CHANNEL_3_MID_LEFT_X103Y254,MGTPTXP3_216
B21,216,OPAD_X0Y13,GTP_CHANNEL_2_MID_LEFT_X103Y243,MGTPTXP2_216
B23,216,OPAD_X0Y9,GTP_CHANNEL_0_MID_LEFT_X103Y214,MGTPTXP0_216
C14,116,OPAD_X1Y10,GTP_CHANNEL_1_MID_RIGHT_X167Y225,MGTPTXN1_116
C16,116,IPAD_X2Y54,GTP_CHANNEL_2_MID_RIGHT_X167Y243,MGTPRXN2_116
C18,216,IPAD_X1Y60,GTP_CHANNEL_3_MID_LEFT_X103Y254,MGTPRXN3_216
C20,216,IPAD_X1Y42,GTP_CHANNEL_1_MID_LEFT_X103Y225,MGTPRXN1_216
C22,216,OPAD_X0Y10,GTP_CHANNEL_1_MID_LEFT_X103Y225,MGTPTXN1_216
D14,116,OPAD_X1Y11,GTP_CHANNEL_1_MID_RIGHT_X167Y225,MGTPTXP1_116
D16,116,IPAD_X2Y55,GTP_CHANNEL_2_MID_RIGHT_X167Y243,MGTPRXP2_116
D18,216,IPAD_X1Y61,GTP_CHANNEL_3_MID_LEFT_X103Y254,MGTPRXP3_216
D20,216,IPAD_X1Y43,GTP_CHANNEL_1_MID_LEFT_X103Y225,MGTPRXP1_216
D22,216,OPAD_X0Y11,GTP_CHANNEL_1_MID_LEFT_X103Y225,MGTPTXP1_216
E13,116,IPAD_X2Y36,GTP_CHANNEL_0_MID_RIGHT_X167Y214,MGTPRXN0_116
