pin,bank,site,tile,pin_function
F12,35,IOB_X0Y98,RIOB33_X31Y97,IO_L1P_T0_AD0P_35
F13,35,IOB_X0Y94,RIOB33_X31Y93,IO_L3P_T0_DQS_AD1P_35
F14,35,IOB_X0Y93,RIOB33_X31Y93,IO_L3N_T0_DQS_AD1N_35
F15,35,IOB_X0Y89,RIOB33_X31Y89,IO_L5N_T0_AD9N_35
G1,502,IOPAD_X1Y45,PSS2_X13Y53,PS_DDR_DQ13_502
G2,502,IOPAD_X1Y69,PSS2_X13Y53,PS_DDR_DQS_P1_502
G7,0,IPAD_X0Y0,MONITOR_BOT_PELE1_X67Y79,VP_0
G11,34,IOB_X0Y48,RIOB33_X31Y47,IO_L1P_T0_34
G12,34,IOB_X0Y46,RIOB33_X31Y45,IO_L2P_T0_34
G14,34,IOB_X0Y44,RIOB33_X31Y43,IO_L3P_T0_DQS_PUDC_B_34
G15,35,IOB_X0Y90,RIOB33_X31Y89,IO_L5P_T0_AD9P_35
H1,502,IOPAD_X1Y46,PSS2_X13Y53,PS_DDR_DQ14_502
H2,502,IOPAD_X1Y47,PSS2_X13Y53,PS_DDR_DQ15_502
H3,502,IOPAD_X1Y3,PSS2_X13Y53,PS_DDR_VRP_502
H8,0,IPAD_X0Y1,MONITOR_BOT_PELE1_X67Y79,VN_0
H11,34,IOB_X0Y38,RIOB33_X31Y37,IO_L6P_T0_34
H12,34,IOB_X0Y47,RIOB33_X31Y47,IO_L1N_T0_34
H13,34,IOB_X0Y45,RIOB33_X31Y45,IO_L2N_T0_34
H14,34,IOB_X0Y43,RIOB33_X31Y43,IO_L3N_T0_DQS_34
J1,502,IOPAD_X1Y14,PSS2_X13Y53,PS_DDR_A10_502
J3,502,IOPAD_X1Y2,PSS2_X13Y53,PS_DDR_VRN_502
J11,34,IOB_X0Y37,RIOB33_X31Y37,IO_L6N_T0_VREF_34
J13,34,IOB_X0Y40,RIOB33_X31Y39,IO_L5P_T0_34
J14,34,IOB_X0Y39,RIOB33_X31Y39,IO_L5N_T0_34
J15,34,IOB_X0Y42,RIOB33_X31Y41,IO_L4P_T0_34
K1,502,IOPAD_X1Y17,PSS2_X13Y53,PS_DDR_A14_502
K2,502,IOPAD_X1Y18,PSS2_X13Y53,PS_DDR_A13_502
K3,502,IOPAD_X1Y131,PSS2_X13Y53,PS_DDR_ODT_502
K11,34,IOB_X0Y28,RIOB33_X31Y27,IO_L11P_T1_SRCC_34
K12,34,IOB_X0Y27,RIOB33_X31Y27,IO_L11N_T1_SRCC_34
K13,34,IOB_X0Y30,RIOB33_X31Y29,IO_L10P_T1_34
K15,34,IOB_X0Y41,RIOB33_X31Y41,IO_L4N_T0_34
L2,502,IOPAD_X1Y15,PSS2_X13Y53,PS_DDR_A11_502
L3,502,IOPAD_X1Y23,PSS2_X13Y53,PS_DDR_CKE_502
L4,502,IOPAD_X1Y72,PSS2_X13Y53,PS_DDR_DRST_B_502
L12,34,IOB_X0Y26,RIOB33_X31Y25,IO_L12P_T1_MRCC_34
L13,34,IOB_X0Y29,RIOB33_X31Y29,IO_L10N_T1_34
L14,34,IOB_X0Y32,RIOB33_X31Y31,IO_L9P_T1_DQS_34
L15,34,IOB_X0Y34,RIOB33_X31Y33,IO_L8P_T1_34
M1,502,IOPAD_X1Y6,PSS2_X13Y53,PS_DDR_A2_502
M2,502,IOPAD_X1Y16,PSS2_X13Y53,PS_DDR_A12_502
M4,502,IOPAD_X1Y7,PSS2_X13Y53,PS_DDR_A3_502
M5,502,IOPAD_X1Y11,PSS2_X13Y53,PS_DDR_A7_502
M6,502,IOPAD_X1Y19,PSS2_X13Y53,PS_DDR_BA0_502
M9,34,IOB_X0Y12,RIOB33_X31Y11,IO_L19P_T3_34
M10,34,IOB_X0Y8,RIOB33_X31Y7,IO_L21P_T3_DQS_34
M11,34,IOB_X0Y7,RIOB33_X31Y7,IO_L21N_T3_DQS_34
M12,34,IOB_X0Y25,RIOB33_X31Y25,IO_L12N_T1_MRCC_34
M14,34,IOB_X0Y31,RIOB33_X31Y31,IO_L9N_T1_DQS_34
M15,34,IOB_X0Y33,RIOB33_X31Y33,IO_L8N_T1_34
N1,502,IOPAD_X1Y5,PSS2_X13Y53,PS_DDR_A1_502
N2,502,IOPAD_X1Y24,PSS2_X13Y53,PS_DDR_CKN_502
N3,502,IOPAD_X1Y25,PSS2_X13Y53,PS_DDR_CKP_502
N4,502,IOPAD_X1Y13,PSS2_X13Y53,PS_DDR_A9_502
N6,502,IOPAD_X1Y21,PSS2_X13Y53,PS_DDR_BA2_502
N7,34,IOB_X0Y6,RIOB33_X31Y5,IO_L22P_T3_34
N8,34,IOB_X0Y5,RIOB33_X31Y5,IO_L22N_T3_34
N9,34,IOB_X0Y11,RIOB33_X31Y11,IO_L19N_T3_VREF_34
N11,34,IOB_X0Y24,RIOB33_X31Y23,IO_L13P_T2_MRCC_34
N12,34,IOB_X0Y23,RIOB33_X31Y23,IO_L13N_T2_MRCC_34
N13,34,IOB_X0Y36,RIOB33_X31Y35,IO_L7P_T1_34
N14,34,IOB_X0Y35,RIOB33_X31Y35,IO_L7N_T1_34
P1,502,IOPAD_X1Y4,PSS2_X13Y53,PS_DDR_A0_502
P3,502,IOPAD_X1Y8,PSS2_X13Y53,PS_DDR_A4_502
P4,502,IOPAD_X1Y9,PSS2_X13Y53,PS_DDR_A5_502
P5,502,IOPAD_X1Y10,PSS2_X13Y53,PS_DDR_A6_502
P6,502,IOPAD_X1Y12,PSS2_X13Y53,PS_DDR_A8_502
P8,34,IOB_X0Y4,RIOB33_X31Y3,IO_L23P_T3_34
P9,34,IOB_X0Y3,RIOB33_X31Y3,IO_L23N_T3_34
P10,34,IOB_X0Y2,RIOB33_X31Y1,IO_L24P_T3_34
P11,34,IOB_X0Y18,RIOB33_X31Y17,IO_L16P_T2_34
P13,34,IOB_X0Y14,RIOB33_X31Y13,IO_L18P_T2_34
P14,34,IOB_X0Y13,RIOB33_X31Y13,IO_L18N_T2_34
P15,34,IOB_X0Y20,RIOB33_X31Y19,IO_L15P_T2_DQS_34
R1,502,IOPAD_X1Y20,PSS2_X13Y53,PS_DDR_BA1_502
R2,502,IOPAD_X1Y27,PSS2_X13Y53,PS_DDR_CS_B_502
R3,502,IOPAD_X1Y1,PSS2_X13Y53,PS_DDR_WE_B_502
R5,502,IOPAD_X1Y22,PSS2_X13Y53,PS_DDR_CAS_B_502
R6,502,IOPAD_X1Y133,PSS2_X13Y53,PS_DDR_RAS_B_502
R7,34,IOB_X0Y10,RIOB33_X31Y9,IO_L20P_T3_34
R8,34,IOB_X0Y9,RIOB33_X31Y9,IO_L20N_T3_34
R10,34,IOB_X0Y1,RIOB33_X31Y1,IO_L24N_T3_34
R11,34,IOB_X0Y17,RIOB33_X31Y17,IO_L16N_T2_34
R12,34,IOB_X0Y16,RIOB33_X31Y15,IO_L17P_T2_34
R13,34,IOB_X0Y15,RIOB33_X31Y15,IO_L17N_T2_34
R15,34,IOB_X0Y19,RIOB33_X31Y19,IO_L15N_T2_DQS_34
